id,nombre,PBI,region
ABW,Aruba,33300.8388187011,Latin America & Caribbean
AGO,Angola,3000.44423053173,Sub-Saharan Africa
ALB,Albania,6810.11404104233,Europe & Central Asia
AND,Andorra,41992.7727779758,Europe & Central Asia
ARE,United Arab Emirates,53707.9800809111,Middle East & North Africa
ARG,Argentina,13650.6046294524,Latin America & Caribbean
ARM,Armenia,7018.05150434798,Europe & Central Asia
ASM,American Samoa,19673.3901023197,East Asia & Pacific
ATG,Antigua and Barbuda,19919.7266867883,Latin America & Caribbean
AUS,Australia,65099.8459118981,East Asia & Pacific
AUT,Austria,52084.6811953372,Europe & Central Asia
AZE,Azerbaijan,7762.0738285884,Europe & Central Asia
BDI,Burundi,259.025031363515,Sub-Saharan Africa
BEL,Belgium,49926.8254295305,Europe & Central Asia
BEN,Benin,1302.85103626824,Sub-Saharan Africa
BFA,Burkina Faso,830.03715033429,Sub-Saharan Africa
BGD,Bangladesh,2688.30550090738,South Asia
BGR,Bulgaria,13974.4492487792,Europe & Central Asia
BHR,Bahrain,30146.925026365,Middle East & North Africa
BHS,"Bahamas, The",31458.300811739,Latin America & Caribbean
BIH,Bosnia and Herzegovina,7568.79847995923,Europe & Central Asia
BLR,Belarus,7888.26371063212,Europe & Central Asia
BLZ,Belize,6984.21695968163,Latin America & Caribbean
BMU,Bermuda,118774.790656677,North America
BOL,Bolivia,3600.12163486427,Latin America & Caribbean
BRA,Brazil,8917.67491057495,Latin America & Caribbean
BRB,Barbados,20238.7842420154,Latin America & Caribbean
BRN,Brunei Darussalam,37152.4769749763,East Asia & Pacific
BWA,Botswana,7738.87880407803,Sub-Saharan Africa
CAF,Central African Republic,427.058096191269,Sub-Saharan Africa
CAN,Canada,54917.6625226262,North America
CHL,Chile,15355.4797401048,Latin America & Caribbean
CHN,China,12720.2163182363,East Asia & Pacific
CIV,Cote d'Ivoire,2486.41219394248,Sub-Saharan Africa
CMR,Cameroon,1563.48894034459,Sub-Saharan Africa
COD,"Congo, Dem. Rep.",653.656223069354,Sub-Saharan Africa
COG,"Congo, Rep.",2649.22502230642,Sub-Saharan Africa
COL,Colombia,6624.16539269075,Latin America & Caribbean
COM,Comoros,1484.89246472542,Sub-Saharan Africa
CPV,Cabo Verde,3754.30479371603,Sub-Saharan Africa
CRI,Costa Rica,13365.3563992692,Latin America & Caribbean
