id,id_sede
1,ECHES
2,ERUNI
3,EHAIT
4,EKENY
5,ERUNI
6,CNYOR
7,EECUA
8,EJAPO
9,ESALV
10,EGUAT
11,EPNMA
12,ETURQ
13,EPORT
14,EISIA
15,ETAIL
16,CGUAY
17,EBRAS
18,EBRAS
19,EBOLV
20,EEEUU
21,EHILE
22,EFRUS
23,ECHIN
24,ESURI
25,EPERU
26,EHILE
27,EBOLV
28,EALEM
29,EFRUS
30,ECHIN
31,EISRA
32,EKUWA
33,EMEXI
34,ERUNI
35,ESAFR
36,ECOLO
37,EITAL
38,ERUNI
39,EHILE
40,EBOLV
41,EBOLV
42,EECUA
43,EEEUU
44,EEGIP
45,EHILE
46,EEEUU
47,EHILE
48,EFILI
49,EFILI
50,CNYOR
51,CHONG
52,ETUNE
53,ENIGE
54,EFRUS
55,EKENY
56,ETRIA
57,ETRIA
58,ETRIA
59,ETRIA
60,ECEUR
61,CNYOR
62,ECEUR
63,EEEUU
64,EBRAS
65,CPCAR
66,CMIAM
67,EKENY
68,CGUAY
69,EBOLV
70,EJAPO
71,EHAIT
72,ETUNE
73,EKENY
74,ESALV
75,EKENY
76,ERUNI
77,ERUNI
78,EBOLV
79,ESSED
80,ESSED
81,EALEM
82,ESSED
83,ESUIZ
84,ECANA
85,EBELG
86,ETUNE
87,EINDI
88,EFRAN
89,EQATR
90,EFRUS
91,EEEUU
92,EPORT
93,ETAIL
94,EUNGR
95,EMOZA
96,ECHIN
97,ENIGE
98,EURUG
99,EPNMA
100,EITAL
101,ECOLO
102,EHILE
103,EBRAS
104,EPERU
105,EBARB
106,EMEXI
107,EESPA
108,EPORT
109,EPORT
110,EPORT
111,EFILI
112,EFILI
113,EBOLV
114,EBOLV
115,EMEXI
116,DITIC
117,EITAL
118,EFRAN
119,EJAPO
120,EKENY
121,ESALV
122,EEEUU
123,ETUNE
124,CNYOR
125,ERUNI
126,EPBAJ
127,EESPA
128,EHILE
129,ETRIN
130,EALEM
131,EDOMI
132,CMIAM
133,ESSED
134,EBARB
135,EKUWA
136,ECANA
137,ESING
138,EMARR
139,CGTEL
140,CBARC
141,EFRAN
142,EITAL
143,CSCRS
144,ECHIN
145,EEGIP
146,CFRAN
147,EVENE
148,EDINA
149,EUNGR
150,EARME
151,EANGO
152,ESAFR
153,EHOND
154,EPERU
155,EAUST
156,EARGE
157,ECUBA
158,EGREC
159,CSIDN
160,EQATR
161,ECOLO
162,EHILE
163,ENIGE
164,ESURI
165,ECEUR
166,ESERB
167,CMILA
168,ELBNO
169,CRECI
170,EFRUS
171,EEEUU
172,EESPA
173,EMEXI
174,EINDI
175,ETRIA
176,EAUST
177,EMEXI
178,EEGIP
179,EDINA
180,EURUG
181,EQATR
182,CURUG
183,EPOLO
184,EHOND
185,ETRIA
186,ESALV
187,CMIAM
188,CSIDN
189,EFINL
190,CBARC
191,EAUST
192,EFRUS
193,EBARB
194,CGMUM
195,CRIOJ
196,ESING
197,EETIO
198,EALEM
199,CGTEL
200,ENORU
201,EBRAS
202,ECORE
203,EFRUS
204,EARGE
205,ECOLO
206,EJAMA
207,EECUA
208,EVIET
209,EARME
210,EDOMI
211,ENZEL
212,EKUWA
213,ERUMA
214,EASIR
215,ETUNE
216,EEEUU
217,EIRLA
218,EGREC
219,EQATR
220,EVENE
221,EEGIP
222,EFINL
223,EHAIT
224,EDINA
225,CNYOR
226,ESERB
227,EANGO
228,ECHES
229,ETURQ
230,CCHIC
231,EPAKI
232,CSCRS
233,EBELG
234,EEARB
235,CVIGO
236,ESUEC
237,EPBAJ
238,CSIDN
239,CFRAN
240,EMSIA
241,EPNMA
242,EUNGR
243,CTORO
244,EISIA
245,ESURI
246,EHOND
247,EFRAN
248,EIRAN
249,EGUAT
250,CSHAN
251,EJAPO
252,EUCRA
253,ERICA
254,CRECI
255,EMOZA
256,CPABL
257,ETAIL
258,ETRIA
259,ESALV
260,ESUIZ
261,EAZER
262,ELBIA
263,ELBNO
264,EMARR
265,ENICA
266,ECUBA
267,CMILA
268,CBARC
269,CMIAM
270,CBARC
271,ECHIN
272,CMIAM
273,CBARC
274,CMIAM
275,CMIAM
276,EPOLO
277,ENIGE
278,CMILA
279,EANGO
280,ECUBA
281,EBARB
282,EFRAN
283,EALEM
284,ESSED
285,EESPA
286,CBARC
287,CTORO
288,CSCRS
289,EMEXI
290,ECANA
291,CRIOJ
292,EALEM
293,EETIO
294,ENORU
295,EECUA
296,EAUST
297,EARGE
298,EISIA
299,EKUWA
300,EIRLA
301,EVENE
302,EEGIP
303,EDINA
304,EUNGR
305,EHAIT
306,EMOZA
307,ECHES
308,EURUG
309,ETURQ
310,ECUBA
311,EJAMA
312,CVIGO
313,CFRAN
314,CRECI
315,EJAPO
316,ERUNI
317,CMIAM
318,ELBNO
319,EBRAS
320,EPOLO
321,EHILE
322,CSHAN
323,EGREC
324,EBELG
325,ESURI
326,EFRAN
327,ETRIA
328,ESUIZ
329,EAZER
330,ETAIL
331,EMARR
332,EUCRA
333,EEEUU
334,ESUEC
335,EBARB
336,EANGO
337,EPERU
338,ECORE
339,ESERB
340,EITAL
341,ECOLO
342,ESAFR
343,EBOLV
344,ETRIA
