,id,nombre,PBI,Region
0,ABW,Aruba,33300.8388187011,Latin America & Caribbean
1,AFE,Africa Eastern and Southern,1644.06282870117,
2,AFW,Africa Western and Central,1785.31221919208,
3,AGO,Angola,3000.44423053173,Sub-Saharan Africa
4,ALB,Albania,6810.11404104233,Europe & Central Asia
5,AND,Andorra,41992.7727779758,Europe & Central Asia
6,ARB,Arab World,7625.25246366409,
7,ARE,United Arab Emirates,53707.9800809111,Middle East & North Africa
8,ARG,Argentina,13650.6046294524,Latin America & Caribbean
9,ARM,Armenia,7018.05150434798,Europe & Central Asia
10,ASM,American Samoa,19673.3901023197,East Asia & Pacific
11,ATG,Antigua and Barbuda,19919.7266867883,Latin America & Caribbean
12,AUS,Australia,65099.8459118981,East Asia & Pacific
13,AUT,Austria,52084.6811953372,Europe & Central Asia
14,AZE,Azerbaijan,7762.0738285884,Europe & Central Asia
15,BDI,Burundi,259.025031363515,Sub-Saharan Africa
16,BEL,Belgium,49926.8254295305,Europe & Central Asia
17,BEN,Benin,1302.85103626824,Sub-Saharan Africa
18,BFA,Burkina Faso,830.03715033429,Sub-Saharan Africa
19,BGD,Bangladesh,2688.30550090738,South Asia
20,BGR,Bulgaria,13974.4492487792,Europe & Central Asia
21,BHR,Bahrain,30146.925026365,Middle East & North Africa
22,BHS,"Bahamas, The",31458.300811739,Latin America & Caribbean
23,BIH,Bosnia and Herzegovina,7568.79847995923,Europe & Central Asia
24,BLR,Belarus,7888.26371063212,Europe & Central Asia
25,BLZ,Belize,6984.21695968163,Latin America & Caribbean
26,BMU,Bermuda,118774.790656677,North America
27,BOL,Bolivia,3600.12163486427,Latin America & Caribbean
28,BRA,Brazil,8917.67491057495,Latin America & Caribbean
29,BRB,Barbados,20238.7842420154,Latin America & Caribbean
30,BRN,Brunei Darussalam,37152.4769749763,East Asia & Pacific
31,BWA,Botswana,7738.87880407803,Sub-Saharan Africa
32,CAF,Central African Republic,427.058096191269,Sub-Saharan Africa
33,CAN,Canada,54917.6625226262,North America
34,CEB,Central Europe and the Baltics,19420.5837787186,
35,CHL,Chile,15355.4797401048,Latin America & Caribbean
36,CHN,China,12720.2163182363,East Asia & Pacific
37,CIV,Cote d'Ivoire,2486.41219394248,Sub-Saharan Africa
38,CMR,Cameroon,1563.48894034459,Sub-Saharan Africa
39,COD,"Congo, Dem. Rep.",653.656223069354,Sub-Saharan Africa
40,COG,"Congo, Rep.",2649.22502230642,Sub-Saharan Africa
41,COL,Colombia,6624.16539269075,Latin America & Caribbean
42,COM,Comoros,1484.89246472542,Sub-Saharan Africa
43,CPV,Cabo Verde,3754.30479371603,Sub-Saharan Africa
44,CRI,Costa Rica,13365.3563992692,Latin America & Caribbean
45,CSS,Caribbean small states,12639.7046226653,
46,CUB,Cuba,56495.8534866201,Latin America & Caribbean
47,CUW,Curacao,20501.7522782219,Latin America & Caribbean
48,CYM,Cayman Islands,99624.8854439134,Latin America & Caribbean
49,CYP,Cyprus,32048.240234375,Europe & Central Asia
50,CZE,Czechia,27223.0451937676,Europe & Central Asia
51,DJI,Djibouti,3136.11276804873,Middle East & North Africa
52,DMA,Dominica,8351.19321309293,Latin America & Caribbean
53,DNK,Denmark,67790.0539923276,Europe & Central Asia
