id,id_sede
1,CALEG
2,CANTO
3,CAREN
4,CASUN
5,CATLA
6,CBARC
7,CBEIJ
8,CBELO
9,CBONN
10,CCADI
11,CCEST
12,CCHIC
13,CCOCH
14,CCOLO
15,CCONC
16,CCURI
17,CENCA
18,CFBEN
19,CFDIG
20,CFLOR
21,CFRAN
22,CGEST
23,CGMUM
24,CGPAZ
25,CGTEL
26,CGUAN
27,CGUAY
28,CGVAN
29,CHAMB
30,CHONG
31,CHOUS
32,CJOHA
33,CLANG
34,CLIMA
35,CLOND
36,CMADR
37,CMALD
38,CMALL
39,CMDEO
40,CMEXI
41,CMIAM
42,CMILA
43,CMREA
44,CNYOR
45,CPABL
46,CPAYS
47,CPCAR
48,CPMON
49,CRECI
50,CRIOJ
51,CROMA
52,CSBAH
53,CSCRS
54,CSHAN
55,CSIDN
56,CSIGO
57,CSLTO
58,CTARI
59,CTENE
60,CTORO
61,CURUG
62,CVALP
63,CVIGO
64,CVILL
65,CYACU
66,DIGAC
67,EALEM
68,EANGO
69,EARAB
70,EARGE
71,EARME
72,EASIR
73,EAUST
74,EAZER
75,EBANG
76,EBARB
77,EBELG
78,EBOLV
79,EBRAS
80,EBULG
81,ECANA
82,ECEUR
83,ECHES
84,ECHIN
85,ECOLO
86,ECORE
87,ECUBA
88,EDINA
89,EDOMI
90,EEARB
91,EECUA
92,EEEUU
93,EEGIP
94,EEOEA
95,EESPA
96,EETIO
97,EFILI
98,EFINL
99,EFRAN
100,EFRUS
101,EGREC
102,EGUAT
103,EGUYA
104,EHAIT
105,EHILE
106,EHOND
107,EINDI
108,EIRAN
109,EIRLA
110,EISIA
111,EISRA
112,EITAL
113,EJAMA
114,EJAPO
115,EKENY
116,EKUWA
117,ELBIA
118,ELBNO
119,ELUCI
120,EMARR
121,EMEXI
122,EMFAO
123,EMOZA
124,EMSIA
125,EMSUR
126,ENAUN
127,ENICA
128,ENIGE
129,ENORU
130,ENZEL
131,EOIRS
132,EPAKI
133,EPARA
134,EPBAJ
135,EPERU
136,EPNMA
137,EPOLO
138,EPORT
139,EQATR
140,ERICA
141,ERUMA
142,ERUNI
143,ESAFR
144,ESALV
145,ESENE
146,ESERB
147,ESING
148,ESSED
149,ESUEC
150,ESUIZ
151,ESURI
152,ETAIL
153,ETRIA
154,ETRIN
155,ETUNE
156,ETURQ
157,EUCRA
158,EUNES
159,EUNGR
160,EURUG
161,EVENE
162,EVIET
163,OCCAT
164,REPAL
