nombre,sedes,secciones_promedio,PBI per Cápita 2022 (U$S)
Angola,1,6.0,3000.44423053173
Brazil,11,1.6363636363636365,8917.67491057495
Nicaragua,1,1.0,2255.42599496242
Panama,1,4.0,17357.628633794
Tunisia,1,7.0,3747.41939149283
Turkiye,2,2.0,10674.5041731531
Uruguay,8,0.5,20795.0423535553
Canada,4,1.75,54917.6625226262
Spain,7,2.2857142857142856,29674.5442864413
Indonesia,1,5.0,4787.99930771921
Netherlands,1,4.0,57025.01245598
Qatar,1,5.0,87661.4501457275
Trinidad and Tobago,1,1.0,19629.4653400829
Mexico,3,3.3333333333333335,11496.5228716049
Austria,1,11.0,52084.6811953372
Azerbaijan,1,5.0,7762.0738285884
Belgium,2,5.5,49926.8254295305
Denmark,1,4.0,67790.0539923276
Dominican Republic,1,3.0,10111.2457110261
Algeria,1,6.0,4342.63796796522
"Egypt, Arab Rep.",1,6.0,4295.40749561014
Hungary,1,5.0,18390.1849993244
India,2,3.5,2410.88802070689
"Korea, Rep.",1,5.0,32422.5744864287
Kuwait,1,5.0,41079.5226998138
Norway,1,3.0,106177.197179078
Peru,2,3.5,7125.82993135746
Romania,1,2.0,15786.8017421977
Suriname,1,6.0,5858.82466074423
Viet Nam,1,4.0,4163.51429874522
Guatemala,1,3.0,5473.20856444589
Kenya,1,6.0,2099.30193826696
Morocco,1,5.0,3441.99145507813
Philippines,1,4.0,3498.5098055874
Singapore,1,4.0,82807.6290622897
South Africa,2,2.0,6766.48125429478
Bolivia,7,2.2857142857142856,3600.12163486427
Cuba,1,5.0,56495.8534866201
Japan,1,6.0,33823.5707344332
Nigeria,1,6.0,2162.63373428577
Pakistan,1,2.0,1588.8798287911
Ecuador,2,5.0,6391.28248430643
"Iran, Islamic Rep.",1,1.0,4669.57137993878
Serbia,1,4.0,9537.68286673128
Barbados,1,7.0,20238.7842420154
Chile,7,2.0,15355.4797401048
China,5,3.4,12720.2163182363
Italy,4,3.25,34776.423234274
Jamaica,1,3.0,6047.2164567796
Libya,1,2.0,6716.09598462328
Mozambique,1,8.0,558.298606448221
Portugal,1,5.0,24515.2658507319
Russian Federation,1,13.0,15270.7060546875
Sweden,1,4.0,56373.7885792007
United States,9,3.3333333333333335,76329.5822652029
Poland,1,3.0,18688.0044867103
Armenia,1,3.0,7018.05150434798
Australia,2,4.0,65099.8459118981
Colombia,1,7.0,6624.16539269075
Czechia,1,5.0,27223.0451937676
Greece,1,4.0,20867.2690861087
Ireland,1,4.0,103983.29133582
Israel,2,2.5,54930.9388075096
New Zealand,1,3.0,48418.5916631992
Thailand,1,6.0,6909.9562847948
Ukraine,1,4.0,4533.9755859375
El Salvador,1,5.0,5127.32166823012
United Arab Emirates,1,3.0,53707.9800809111
Costa Rica,1,2.0,13365.3563992692
Ethiopia,1,4.0,1027.58591095964
Finland,1,2.0,50916.2804653208
France,2,4.5,40886.2532680273
Malaysia,1,3.0,11993.1876132994
Honduras,1,4.0,3040.17304596842
Switzerland,2,2.5,93259.9057183024
Haiti,1,7.0,1748.25713229469
Germany,4,3.5,48717.9911402128
