pais_id,cantidad_de_tipos_de_redes
AGO,2
SAU,3
FIN,2
ROU,2
IND,3
USA,7
URY,4
EGY,3
ETH,3
MEX,4
AUT,3
VEN,3
VAT,4
SRB,1
BOL,2
JPN,2
PAN,1
SEN,1
PSE,1
DOM,1
PAK,1
KEN,2
BRA,4
NGA,2
IRL,2
NOR,2
SLV,3
SGP,2
VNM,2
KWT,1
MOZ,2
PER,2
FRA,2
ARE,1
TTO,2
CRI,1
NIC,1
PRY,4
BEL,6
ECU,3
GRC,2
CHL,3
NLD,2
SWE,3
TUN,4
AUS,2
BRB,1
CUB,1
MYS,1
CHE,4
HUN,1
AZE,3
PHL,3
BGR,2
DEU,2
COL,2
POL,1
CHN,1
QAT,1
TUR,1
ESP,5
ITA,5
HND,1
IDN,1
JAM,3
DZA,3
ARM,3
CAN,5
CZE,2
KOR,2
RUS,2
LBN,1
MAR,2
GRB,5
ISR,2
SYR,1
DNK,1
ZAF,3
UKR,2
THA,1
