Pais,id_sede,red_social,url
Algeria,EARGE,facebook,facebook.com/ArgentinaEnArgelia
Algeria,EARGE,instagram,https://instagram.com/argenargelia
Algeria,EARGE,twitter,https://twitter.com/ARGenArgelia
Angola,EANGO,facebook,https://www.facebook.com/ArgentinaEnAngola/
Angola,EANGO,instagram,https://www.instagram.com/embargentinaenangola/
Armenia,EARME,facebook,https://www.facebook.com/ArgentinaEnArmenia
Armenia,EARME,instagram,https://www.instagram.com/arginarmenia/
Armenia,EARME,twitter,https://twitter.com/ARGinArmenia
Australia,CSIDN,facebook,https://www.facebook.com/ArgentinaEnSidney/
Australia,EAUST,facebook,https://www.facebook.com/ArgentinaEnAustralia/
Australia,EAUST,twitter,https://twitter.com/ARGinAustralia
Austria,ETRIA,facebook,https://www.facebook.com/ArgentinaEnAustria/
Austria,ETRIA,instagram,https://www.instagram.com/argenviena/
Austria,ETRIA,twitter,https://twitter.com/ARGenViena
Azerbaijan,EAZER,facebook,https://www.facebook.com/EmbassyOfArgentina/
Azerbaijan,EAZER,instagram,www.instagram.com/embargentinaaz
Azerbaijan,EAZER,twitter,www.twitter.com/ARGEnAzer
Barbados,EBARB,facebook,https://www.facebook.com/ArgentinaEnBarbados/
Belgium,EBELG,facebook,https://www.facebook.com/ArgentinaEnBelgica/
Belgium,EBELG,instagram,https://www.instagram.com/argenbelgica/
Belgium,ECEUR,facebook,https://www.facebook.com/ARGanteUE
Belgium,ECEUR,flickr,https://www.flickr.com/people/197084220@N02/
Belgium,ECEUR,linkedin,https://www.linkedin.com/company/arganteue
Belgium,ECEUR,twitter,https://twitter.com/ARGanteUE
Belgium,ECEUR,youtube,https://www.youtube.com/@ARGanteUE
Bolivia,CCOCH,facebook,wwww.facebook.com/ArgentinaEnCochabamba
Bolivia,CSCRS,desconocido,cscrs2018
Bolivia,CSCRS,facebook,www.facebook.com/ArgEnSantaCruz  de  la  Sierra
Bolivia,CVILL,facebook,https://www.facebook.com/ArgEnVillazon
Bolivia,EBOLV,desconocido,@EmbaArgBolivia
Bolivia,EBOLV,desconocido,@EmbajadaArgentinaBolivia
Bolivia,EBOLV,desconocido,@embajada_argentina_en_bolivia
Brazil,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
Brazil,CALEG,instagram,https://www.instagram.com/argenportoalegre/
Brazil,CALEG,twitter,https://twitter.com/ArgPortoAlegre
Brazil,CBELO,facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
Brazil,CBELO,instagram,https://www.instagram.com/consgralbelo/
Brazil,CBELO,twitter,https://twitter.com/consgralbelo
Brazil,CCURI,facebook,https://www.facebook.com/ArgEnCuritiba/
Brazil,CCURI,instagram,https://instagram.com/argEncuritiba
Brazil,CCURI,twitter,https://twitter.com/ARGenCuri
